,real,predict
518,0.175504458,0.152289748
519,0.175937624,0.152254671
520,0.17649713,0.152135342
521,0.177561997,0.152047306
522,0.172851316,0.152545184
523,0.172165469,0.151807725
524,0.172779121,0.150682628
525,0.17292351,0.14960286
526,0.170450854,0.149639487
527,0.168465509,0.149223894
528,0.166859185,0.148162842
529,0.168934772,0.146741867
530,0.165451395,0.146393001
531,0.162852399,0.145740658
532,0.1609212,0.144725531
533,0.161246074,0.142884582
534,0.161625095,0.141928762
535,0.161715338,0.14168036
536,0.161191929,0.141862869
537,0.162166552,0.141846091
538,0.161155831,0.141961783
539,0.161679241,0.141854644
540,0.162401184,0.141937941
541,0.162076309,0.142014027
542,0.163159225,0.142227799
543,0.163646536,0.142552972
544,0.165830415,0.142859846
545,0.164946035,0.143718034
546,0.167545031,0.144155562
547,0.164350431,0.145017028
548,0.162617767,0.144722372
549,0.167545031,0.144097567
550,0.169025015,0.144120812
551,0.169367938,0.145304203
552,0.166010901,0.146832079
553,0.166046999,0.146454155
554,0.165830415,0.145703614
555,0.166480165,0.144928932
556,0.165343104,0.145034701
557,0.16500018,0.144883096
558,0.164007508,0.144664109
559,0.164278237,0.144101888
560,0.164350431,0.143846095
561,0.165108472,0.14371419
562,0.164891889,0.143966287
563,0.165487492,0.14411816
564,0.166588456,0.144367784
565,0.166173339,0.144723475
566,0.165794318,0.145028591
567,0.16666065,0.145077705
568,0.168086489,0.145095408
569,0.167238205,0.145559937
570,0.167779663,0.14590472
571,0.16781576,0.146133304
572,0.169891348,0.146090299
573,0.170721583,0.14670521
574,0.168303072,0.147426784
575,0.167779663,0.147522062
576,0.167906003,0.146977425
577,0.168303072,0.146345049
578,0.168627946,0.146354795
579,0.168591849,0.14655757
580,0.168664044,0.14671728
581,0.168212829,0.146796703
582,0.168158683,0.14670071
583,0.167238205,0.146591455
584,0.167779663,0.146262944
585,0.167671371,0.146149099
586,0.168050392,0.146056503
587,0.168429412,0.146237224
588,0.168826481,0.146396548
589,0.169692813,0.146667421
590,0.169638667,0.147053599
591,0.169819153,0.147344738
592,0.169548424,0.147564977
593,0.169530376,0.147534251
594,0.161751435,0.147502124
595,0.162563621,0.145611703
596,0.158087572,0.143876582
597,0.157762697,0.14136824
598,0.157834892,0.140237719
599,0.158304155,0.138484925
600,0.15760026,0.138578326
601,0.156896365,0.138524741
602,0.155001263,0.138132423
603,0.155434429,0.136854082
604,0.154568097,0.135992467
605,0.154387611,0.135154188
606,0.154748583,0.13489005
607,0.15556077,0.134643972
608,0.155488575,0.1350348
609,0.155903693,0.135466278
610,0.155308089,0.135888666
611,0.154640292,0.135803252
612,0.154315417,0.135455132
613,0.155885644,0.134846359
614,0.157383677,0.135074049
615,0.157762697,0.136168569
616,0.158629029,0.137497008
617,0.160397791,0.138536215
618,0.161895824,0.139724702
619,0.162527524,0.1410456
620,0.161209977,0.141932994
621,0.161643143,0.142106146
622,0.159350973,0.142020464
623,0.160957297,0.141317964
624,0.158755369,0.14122197
625,0.156336859,0.140618622
626,0.155470527,0.13936457
627,0.156174422,0.137225509
628,0.154604194,0.136265606
629,0.154297369,0.135637134
630,0.155290041,0.135135978
631,0.154116883,0.134826601
632,0.154604194,0.134671003
633,0.155127604,0.134738266
634,0.155109555,0.134714007
